article title,link
"
                                                                    Rishi Sunak pushes back ban on new petrol and diesel cars to 2035                                                            ",https://www.bbc.com/news/live/uk-66863110
"
                                                                    India warns citizens in Canada to be cautious                                                            ",https://www.bbc.comhttps://www.bbc.com/news/world-asia-india-66851960
"
                                                                    US child dies from fentanyl kept under nursery mat                                                            ",https://www.bbc.comhttps://www.bbc.com/news/world-us-canada-66861588
"
                                                                    The rise of 'paid paid time off'                                                            ",https://www.bbc.comhttps://www.bbc.com/worklife/article/20230918-the-companies-doling-out-thousands-for-workers-holidays
"
                                                                    The superstar models who ruled the 90s                                                            ",https://www.bbc.comhttps://www.bbc.com/culture/article/20230919-the-super-models-how-linda-cindy-christy-naomi-and-tatjana-defined-an-era
"
                                                                    Ceasefire deal as Karabakh forces agree to disarm                                                            ",https://www.bbc.com/news/world-europe-66863702
"
                                                                    Iranian women face 10 years' jail under hijab bill                                                            ",https://www.bbc.com/news/world-middle-east-66863720
"
                                                                    Nigerian protests after Afrobeats star's death                                                            ",https://www.bbc.com/news/world-africa-66867159
"
                                                                    Champions League: Real Madrid in action, plus Man Utd & Arsenal build-up                                                            ",https://www.bbc.com/sport/live/football/66673668
"
                                                                    Rugby World Cup: Italy v Uruguay                                                            ",https://www.bbc.com/sport/live/rugby-union/65867306
"
                                                                    Solskjaer criticises some players from Man Utd reign                                                            ",https://www.bbc.com/sport/football/66865014
"
                                                                    Torture, rape, killings: An Indian state's brutal conflict                                                            ",https://www.bbc.com/news/world-asia-india-66844028
"
                                                                    A haunted Australia stares down bushfire disaster again                                                            ",https://www.bbc.comhttps://www.bbc.com/news/world-australia-66793592
"
                                                                    How India-Canada ties descended into a public feud                                                            ",https://www.bbc.com/news/world-asia-india-66851144
"
                                                                    China imports of Japan fish dive over Fukushima release                                                            ",https://www.bbc.com/news/business-66862576
"
                                                                    A one-pot wonder rice dish                                                            ",https://www.bbc.comhttps://www.bbc.com/travel/article/20230919-the-simple-art-of-rice-seafood-paella-with-lime
